Unnamed: 0,id,rank,name,valid_url,urls.website,web_score,alexa_rank
400,8030,1170,NFTLootBox,1,['https://nftlootbox.com'],70,Err
401,3809,1174,DOS Network,1,['https://dos.network'],80,Err
402,10055,1177,Crust Shadow,1,['https://crust.network/'],95,"#163,772"
403,2277,1178,SmartMesh,1,['https://smartmesh.io/'],80,"#1,644,948"
404,10103,1180,Lossless,1,['https://lossless.cash'],65,Err
405,6625,1182,Innovation Blockchain Payment,1,['https://www.ibp.world/'],90,Err
406,8519,1184,Xend Finance,1,['https://xend.finance/'],90,"#281,627"
407,7795,1185,Bird.Money,1,['https://www.bird.money/'],1,"#215,326"
408,8424,1189,Deri Protocol,1,['https://deri.finance/'],85,Err
409,4860,1190,Era Swap,1,"['https://eraswap.life/', 'https://eraswaptoken.io/']",75,Err
410,8300,1194,PolkaCover,1,['https://www.polkacover.com/'],35,"#827,549"
411,8702,1195,Ares Protocol,1,['https://aresprotocol.io/'],30,Err
412,3607,1196,VestChain,1,['https://vestchain.io/'],80,Err
413,7772,1202,Leverj Gluon,1,['https://www.leverj.io/'],65,"#449,884"
414,2835,1206,Endor Protocol,1,['https://www.endor.com/'],91,"#1,786,345"
415,3734,1215,Elamachain,1,['https://www.elamachain.io/'],65,Err
416,2711,1218,DOC.COM,1,['https://doc.com/'],100,Err
417,2453,1220,EDUCare,1,['http://ekt8.io/'],65,Err
418,2450,1228,carVertical,1,['https://www.carvertical.com/investors'],100,"#52,966"
419,4199,1229,Swace,1,['https://swace.io/'],85,Err
420,8162,1240,AMEPAY,1,['https://amepay.io/'],50,"#399,540"
421,5880,1242,Props Token,1,['https://www.propsproject.com/'],100,"#1,281,855"
422,3899,1246,Zloadr,1,"['https://www.zloadr.com', 'https://asset.zloadr.com/']",95,"#7,031,870"
423,6718,1248,Growth DeFi,1,"['https://growthdefi.com/', 'https://growthdefi.com/']",65,Err
424,2653,1250,Auctus,1,['https://auctus.org/'],60,"#773,619"
425,7422,1255,PlotX,1,['https://plotx.io/'],75,"#199,895"
426,2830,1260,Seele-N,1,"['https://seelen.pro/#/', 'http://seele.pro/']",92,Err
427,8385,1262,Umbrella Network,1,['https://www.umb.network/'],80,"#293,291"
428,7826,1264,Zoracles,1,['https://zoracles.com'],75,Err
429,1983,1265,VIBE,1,['https://www.vibehub.io/'],95,"#316,374"
430,5719,1267,CACHE Gold,1,['https://cache.gold'],75,"#1,812,122"
431,2737,1271,Global Social Chain,1,['https://www.gsc.social'],65,Err
432,7866,1275,Monavale,1,['https://www.digitalax.xyz/'],25,"#199,750"
433,5674,1277,PhoenixDAO,1,['https://phoenixdao.io'],55,Err
434,1786,1278,SunContract,1,['https://suncontract.org/'],100,"#4,185,320"
435,7222,1281,yAxis,1,['https://yaxis.io/'],100,Err
436,3800,1282,FidexToken,1,['https://fidex.market'],90,Err
437,2869,1283,Merculet,1,['https://www.merculet.io/'],23,"#1,745,667"
438,7034,1285,Golff,1,['https://www.golff.finance/'],100,Err
439,2336,1287,Game.com,1,"['http://game.com/', 'https://gtc.game.com/']",100,"#449,021"
440,3279,1288,Rotharium,1,['https://www.rotharium.io'],85,Err
441,7256,1292,Mettalex,1,['https://mettalex.com/'],100,"#802,695"
442,2739,1296,Digix Gold Token,0,"['https://digix.global/dgx', 'https://digix.global/app/#/provenance/assets-explorer/assets-list']",80,-1
443,2601,1298,1World,1,['https://ico.1worldonline.com'],70,"#186,860"
444,3431,1299,Iconic Token,1,"['https://iconicholding.com/icnq-token/', 'https://iconicholding.com/icnq-token/']",35,"#3,732,907"
445,8544,1300,Fractal,1,['https://protocol.fractal.id/'],100,"#191,670"
446,7812,1311,SYNC Network,1,['https://syncbond.com/'],50,"#950,000"
447,2726,1312,DAOstack,1,['https://daostack.io'],100,"#590,207"
448,3733,1316,S4FE,1,['https://www.s4fe.org/'],75,Err
449,5833,1318,ASKO,1,"['https://asko.finance/', 'https://asko.online/']",80,Err
