Unnamed: 0,id,rank,name,valid_url,urls.website,web_score,alexa_rank
450,8643,1319,Shadows,1,['https://shadows.link/'],20,"#1,017,790"
451,8376,1321,MASQ,1,['https://masq.ai/'],75,"#
3,680,620"
452,3636,1322,Link Machine Learning,1,['https://www.gny.io/lml'],35,"#3,081,700"
453,2906,1327,Essentia,1,['https://essentia.one/'],100,"#2,313,723"
454,6938,1328,YFDAI.FINANCE,1,['https://yfdai.finance'],40,"#425,481"
455,2661,1331,Tripio,0,['https://trip.io/'],95,-1
456,5902,1334,DragonVein,1,['http://www.dragonvein.io/'],55,"#
8,273,196"
457,2775,1338,Faceter,1,['https://tokensale.faceter.io/'],50,Err
458,2240,1342,SoMee.Social [OLD],1,"['https://somee.social/', 'https://www.ongcoin.com/']",90,"#200,288"
459,2913,1344,Databroker,1,['http://databrokerdao.com'],85,Err
460,7038,1350,Xfinance,0,['https://xfinance.io/'],80,-1
461,2766,1351,Cryptaur,1,['https://cryptaur.com/'],100,"#
7,015,777"
462,7376,1353,Doki Doki Finance,1,['https://dokidoki.finance/'],70,"#
1,306,856"
463,1976,1360,Blackmoon,1,['https://www.blackmoon.net'],65,"#3,089,835"
464,7587,1361,UTU Protocol,1,['https://utu.io/'],100,"#2,129,825"
465,2547,1362,Experty,1,['https://experty.io/en'],100,"#310,955"
466,2366,1363,FairGame,1,['https://fair.game/'],100,"#
2,447,192"
467,5871,1368,Falcon Project,1,['https://falconofficial.com'],100,"#
3,444,850"
468,4053,1369,Q DAO Governance token v1.0,1,['https://qdefi.io/en'],90,"#664,094"
469,7694,1379,Governor DAO,1,['https://governordao.org/'],100,"#
890,452"
470,8181,1380,DePay,1,['https://depay.fi'],-1,"#3,535,000"
471,5277,1383,SynchroBitcoin,1,"['https://www.snbtoken.io', 'https://synchrobit.io']",86,"#
1,840,603"
472,7559,1386,Tadpole Finance,1,['https://tadpole.finance/index.html'],90,"#
1,279,960"
473,5300,1395,Inex Project,1,['https://www.inexprojectofficial.com/'],70,"#
3,287,146"
474,9236,1396,TopBidder,1,['https://bidder.top/#/lbp'],90,"#
1,876,057"
475,7298,1398,Phantasma Energy,1,['https://Phantasma.io'],50,"#743,995"
476,6583,1401,Multiplier,1,['https://multiplier.finance'],90,"#142,350"
477,9149,1402,Cryptonovae,1,['https://cryptonovae.com'],100,"#
1,534,178"
478,4712,1403,AmonD,1,['https://www.amond.cc/'],45,Err
479,9550,1407,PERI Finance,1,"['https://www.pynths.com/', 'https://staking.peri.finance/']",85,"#
1,264,788"
480,3988,1409,VNT Chain,1,['http://vntchain.io/?language=en'],80,"#
7,795,036"
481,9663,1411,ArGo,1,['https://argoapp.live'],35,"#213,311"
482,2945,1412,ContentBox,1,['https://contentbox.one/'],83,"#2,833,351"
483,8260,1413,Indexed Finance,1,['https://indexed.finance/'],80,"#181,790"
484,8704,1416,Playcent,1,['http://playcent.com'],90,"#1,060,773"
485,3687,1417,BitBall,1,"['https://www.bitball-btb.com/', 'https://bitball-dex.com/']",80,"#
1,935,548"
486,7487,1419,Chonk,1,['https://www.chonker.finance/'],40,"#
994,507"
487,2705,1420,Amon,1,['https://amon.tech/'],90,"#1,288,403"
488,4927,1422,RigoBlock,1,['https://rigoblock.com/'],100,"#
260,906"
489,9289,1424,Chainswap,1,"['https://chainswap.com', 'https://exchange.chainswap.com']",100,"#
294,538"
490,3492,1427,Vetri,1,['https://vetri.global/'],100,Err
491,1948,1429,Aventus,1,['https://www.aventus.io/'],60,"#412,829"
492,3474,1435,YGGDRASH,1,['https://yggdrash.io'],45,Err
493,9563,1437,TradeStars,1,['https://tradestars.app/'],60,"#
641,458"
494,9440,1439,Mochi Market,1,"['https://app.mochi.market', 'https://farm.mochi.market']",95,"#73,002"
495,7681,1440,Ideaology,1,"['https://ideaology.io', 'https://activeidea.com']",100,"#232,452"
496,8509,1441,XMON,1,['https://0xmons.xyz/'],25,"#
707,400"
497,11727,1444,Phoenix Token,1,['https://www.phx.finance/'],80,Err
498,3397,1446,Neural Protocol,0,['https://www.nrp.world'],100,-1
499,3079,1452,X8X Token,1,['https://x8currency.io'],55,Err
