,id,rank,name,valid_url,urls.website,web_score
1050,8930,3808,Ethbox,1,['https://www.ethbox.org/'],50
1051,8074,3811,Basis Dollar,0,['https://basisdollar.fi/'],55
1052,9498,3814,EnreachDAO,1,['https://enreach.io'],85
1053,8316,3817,XUSD Stable,1,['https://xusd.money'],100
1054,6684,3821,Dextoken,0,['https://flowchain.co/dextoken.html'],100
1055,9272,3826,Munch Token,1,['https://munchproject.io/'],35
1056,11405,3827,Bored Museum,1,['https://www.borednft.io/'],90
1057,7400,3828,YFi Management,0,['https://yfi.management'],65
1058,6243,3832,DeFiPie,1,['https://defipie.com/'],60
1059,6852,3836,Akropolis Delphi,1,['https://delphi.akropolis.io/'],95
1060,3761,3845,DISCIPLINA,1,['https://disciplina.io'],55
1061,8388,3846,REDi,1,['https://redi.io/en'],51
1062,10952,3847,The People's Coin,1,['https://www.thepeoplescoin.money'],20
1063,11653,3851,Bond Appetite USD,1,['https://bondappetit.io/'],60
1064,9694,3852,Upfire,1,['https://www.upfire.com'],75
1065,11148,3867,Proxy,1,['https://btcpx.io/'],75
1066,5920,3873,AICON,0,,-2
1067,8160,3874,One Share,1,['https://onecash.finance/'],75
1068,9420,3881,SwapDEX,1,['https://swapdex.net/'],65
1069,5986,3886,Liquidity Dividends Protocol,0,['https://www.lid.sh'],-1
1070,11337,3897,OS,1,['http://ethereansos.eth.link/'],100
1071,8014,3911,FNK wallet,1,['https://fnk.com/'],100
1072,10990,3915,DAppNode,1,['https://dappnode.io/'],80
1073,7697,3946,Experty Wisdom Token,1,['https://experty.io/en'],100
1074,9016,3955,DAOhaus,1,['https://daohaus.club/'],85
1075,9322,3970,BondApp챕tit Governance Token,1,['https://bondappetit.io/governance'],60
1076,10262,3974,KleeKai,1,['https://klee.finance/'],70
1077,8548,3975,Aloha,1,['https://alohadefi.io/'],80
1078,8237,3988,Basis Dollar Share,0,['https://basisdollar.fi/'],55
1079,5915,3991,Bone,1,"['https://mydogdata.com/', 'https://dogdata.io/']",45
1080,8135,3996,Cryptokek,1,"['https://cryptokek.com/', 'https://app.cryptokek.com/']",80
1081,5934,4006,Hey Bitcoin,0,['https://www.heybitcoin.io/'],60
1082,10831,4010,Parallel Protocol,1,['https://mimo.capital/'],35
1083,8893,4011,Cream ETH 2,1,['https://cream.finance/'],100
1084,8117,4016,Dymmax,1,['https://dymmax.com/'],60
1085,3252,4024,ShineChain,0,,-2
1086,8302,4025,QFinance,1,['https://qfihub.com'],35
1087,9639,4028,Pussy Financial,1,['https://pussy.financial/'],60
1088,10900,4033,Hachiko Inu,1,['https://app.hachikoinu.org/'],30
1089,7832,4039,REALPAY,1,['https://www.realmarket.app/'],45
1090,11272,4047,Wrapped Arweave,1,"['https://everpay.io', 'https://everpay.io/deposit']",25
1091,9626,4048,Emblem,1,['https://overline.network'],65
1092,8832,4056,AlgoVest,1,['https://algovest.fi/'],65
1093,9298,4058,Dogira,1,['https://dogira.net'],30
1094,8121,4059,Themis,1,['https://themisoracle.com/#/'],75
1095,7751,4060,KP2R.Network,0,"['https://kp2r.network/', 'https://feed.kp2r.network/']",55
1096,11786,4076,DAO.vc,1,['https://dao.vc'],35
1097,4112,4083,Eco Value Coin,1,['https://www.ecovaluecoin.com/'],74
1098,7875,4085,MM Token,1,['https://mushrooms.finance/'],50
1099,3683,4090,AEN Smart Token,1,"['https://www.aencoin.com', 'https://medium.com/@aencoin']",70
