,id,rank,name,valid_url,urls.website,web_score
700,3297,2144,Gene Source Code Chain,1,['http://www.gscchain.org/'],85
701,2464,2146,Devery,1,['https://devery.io/'],75
702,3869,2147,Alpha Token,0,['https://www.alphaplatform.co '],85
703,2720,2149,Parkgene,1,['https://parkgene.io/'],90
704,4737,2150,ITO Utility Token,1,['http://ito.network/'],1
705,3469,2152,TrueDeck,1,['https://truedeck.io/'],0
706,5304,2154,MorCrypto Coin,1,['https://morcrypto-exchange.com'],1
707,3171,2157,HeartBout,1,['https://heartbout.com/'],100
708,2972,2158,ZPER,1,['Https://zper.io'],-1
709,7698,2161,CorionX,1,['https://corion.io/corionx/'],95
710,1969,2164,Sociall,0,['https://sociall.io'],100
711,10101,2166,Kwikswap Protocol,1,['https://home.kwikswap.org'],28
712,3429,2169,Cyber Movie Chain,0,['https://cybermoviechain.io/'],60
713,1985,2178,Chronologic,1,['https://chronologic.network/'],90
714,217,2183,Bela,1,['http://livebela.com/'],85
715,5288,2184,Bidesk,1,['https://www.bidesk.com'],80
716,3095,2187,Niobium Coin,1,"['https://niobiumcoin.io/', 'https://www.bomesp.org/']",90
717,6116,2189,megaBONK,1,['https://www.megabonk.com/'],40
718,3315,2191,Playgroundz,1,['https://www.playgroundz.io/'],85
719,4452,2192,BidiPass,1,['https://bidipass.org/'],15
720,6862,2198,Boosted Finance,1,['https://boosted.finance/'],80
721,2064,2199,Maecenas,1,['http://www.maecenas.co/'],95
722,2899,2200,Thrive Token,1,['https://ico.thrivelabs.io/'],70
723,2006,2203,Cobinhood,1,['https://www.cobinhood.com/'],1
724,4193,2204,Dynamite,1,['https://www.dynft.io/'],25
725,3247,2206,Fire Lotto,1,['https://firelotto.io/'],1
726,3931,2210,Elementeum,1,['https://www.etherlegends.com'],71
727,6566,2214,Meridian Network,1,['https://meridian-network.co/'],15
728,2452,2216,Tokenbox,1,['https://tokenbox.io/'],100
729,2249,2218,Eroscoin,1,['https://eroscoin.org/'],95
730,3101,2220,OptiToken,1,['https://optitoken.io'],95
731,2286,2225,MicroMoney,1,['https://www.micromoney.io/'],100
732,5397,2233,Castweet,0,"['http://www.castweet.com', 'http://www.castjam.tv']",100
733,4071,2234,Ubricoin,0,['https://ubricoin.ubrica.com/'],-1
734,2836,2240,Bigbom,1,['https://bigbom.com'],100
735,2704,2248,Transcodium,1,['https://transcodium.com/'],30
736,1931,2251,Opus,1,['http://opus-foundation.org/'],100
737,3499,2265,Liquidity Network,1,['https://liquidity.network/'],100
738,1873,2266,Blocktix,1,['https://blocktix.io/'],80
739,5840,2276,Insight Protocol,0,['https://inxprotocol.io/en'],85
740,5910,2281,Fesschain,1,['https://fesschain.live/'],65
741,8445,2292,SharedStake,1,"['https://www.sharedstake.org/', 'https://sips.sharedstake.org/']",25
742,2898,2293,GoNetwork,1,['https://gonetwork.co/index.html'],85
743,3895,2298,Matrexcoin,1,"['https://matrexcoin.com/', 'https://matrexcoin.com/news/update-minds-our-partner?en']",55
744,4284,2299,DABANKING,0,['https://dabanking.io/'],54
745,2244,2308,Payfair,1,['https://payfair.io/'],1
746,4589,2312,Cipher,1,"['https://ciphercryptotech.org/', 'https://ciphercpr.com']",70
747,3980,2316,TCASH,1,['https://www.etherflyer.com/index.html'],70
748,7520,2328,SynLev,0,['https://www.synlev.com'],80
749,2269,2329,WandX,1,['https://www.wandx.co/'],95
