,id,rank,name,valid_url,urls.website,web_score
1450,7712,5836,Freedom Reserve,1,['https://freedomreserv.eth.link'],100
1451,7713,5837,Order of the Black Rose,1,['https://nftobr.com'],35
1452,7714,5838,swiss.finance,1,['https://swissfarming.finance/'],100
1453,7733,5842,Light Coin Exchange Token,0,"['https://lightcoinex.com', 'https://www.lightcoin.exchange']",90
1454,7734,5843,TOM Finance,1,['https://tom.finance/'],65
1455,7735,5844,Yuan,1,['https://1yuan.finance/'],100
1456,7756,5846,oBTC,1,['https://www.boringdao.com/'],70
1457,7766,5848,Divert Finance,1,['https://divertfinance.com/'],70
1458,7771,5849,HoldToWin,1,['https://holdtowin.eth.link'],100
1459,7781,5852,LeLeFoodChain,0,"['https://lelefoodchain.com/', 'https://www.lelefood.net/home']",100
1460,7782,5853,Ethanol,1,['https://ethanoltoken.com'],30
1461,7785,5854,Bundles Finance,1,['https://bundles.finance'],40
1462,7801,5856,HRDCOIN,1,"['http://www.hrdcoin.com', 'http://www.smenergy.tech/index_en.php']",16
1463,7839,5857,Degov,1,['https://debaseonomics.io/'],5
1464,7851,5858,Adventure Token,1,['https://www.adventuretoken.com/'],35
1465,7865,5859,WaterDrop,0,['https://waterdrop.business/'],50
1466,7880,5860,YFIDapp,1,['https://yfidapp.finance/'],40
1467,7886,5861,Glox Finance,1,['https://glox.finance'],95
1468,7936,5869,FOMPOUND,1,['https://www.fompound.com/'],80
1469,7998,5876,Predictz,1,['https://predictz.io/'],70
1470,8007,5877,Natural Farm Union Protocol,1,"['https://nfup.io/', 'https://www.nfupmall.com/']",85
1471,8013,5879,PIRANHAS,1,['https://piranhas.finance'],85
1472,8021,5880,HLand Token,1,['https://htw.land/'],25
1473,8035,5881,Grom,1,['https://cryptochief.net/GROM-na-strazhe-kriptoaktivov'],50
1474,8067,5886,Nyantereum International,1,"['https://nyantereum.com', 'https://nyantereuminternational.com/']",60
1475,8077,5887,Rootkit Finance,1,['https://rootkit.finance'],55
1476,8089,5888,Restore,0,"['https://www.restoretoken.net/', 'https://www.restoretoken.net/restore-airdrop/']",90
1477,8095,5890,Orient,0,['https://orientproject.finance'],100
1478,8110,5891,Tacoswap,1,['https://www.tacoswap.io/'],90
1479,8124,5893,DRC mobility,1,['https://drc.asia'],75
1480,8130,5894,Supreme Finance,1,['https://www.supremefinance.io/'],30
1481,8138,5896,LinkBased,1,['https://linkbased.org'],45
1482,8142,5897,IDL Token,1,['https://idlswap.io/'],80
1483,8146,5898,Zipmex,1,['https://www.zipmex.com'],100
1484,8185,5899,Trism,1,"['https://trism.io/', 'https://opensea.io/collection/trism-originals']",80
1485,8199,5902,Securypto,0,['https://www.securypto.io/'],100
1486,8226,5908,Xdef Finance,1,['https://xdef.finance/'],70
1487,8312,5915,Bitbot Protocol,0,['https://bitbotprotocol.tech/'],-1
1488,8324,5916,PieDAO Yearn Ecosystem Pie,1,['https://www.piedao.org/#/pie/0x17525e4f4af59fbc29551bc4ece6ab60ed49ce31'],60
1489,8326,5917,CURE Farm,0,['https://cure.farm'],100
1490,8330,5918,Xstable.Protocol,1,"['https://xstable.finance/', 'https://xstable.finance/img/logo-200x200.png']",100
1491,8338,5921,Tokemon,1,['https://tokemon.io/'],70
1492,8348,5924,USDEX,0,['https://usdex.co/'],90
1493,8374,5928,protocol finance,1,['https://www.protocolfinance.com/'],65
1494,8392,5930,MoonDayPlus,1,['https://moondayplus.com'],70
1495,8412,5933,MP3,1,['https://mp3finance.com/'],65
1496,8436,5935,Freeliquid,1,['https://freeliquid.io/'],75
1497,8437,5936,USDFreeLiquidity,1,['https://freeliquid.io/'],75
1498,8442,5937,EthicHub,1,"['https://ethichub.com', 'http://app.ethichub.com']",100
1499,8446,5939,DeFiStarter,1,['https://defistarter.io/'],65
