,id,rank,name,valid_url,urls.website,web_score
1500,8482,5942,mStable BTC,1,"['https://mstable.org/', 'https://app.mstable.org/#/mbtc/mint']",100
1501,8493,5944,Previse,0,['https://previse.finance/'],-1
1502,8513,5947,Basix,1,['https://basix.xyz/'],80
1503,8560,5952,WhaleRoom,1,"['https://whaleroom.org', 'https://app.whaleroom.org']",45
1504,8680,5965,DEOR,1,['https://www.deor.io/'],60
1505,8687,5967,Polkazeck,0,['https://polkazeck.io/'],65
1506,8761,5975,Decentralized Nations,0,['https://denations.com/'],58
1507,8775,5977,Value Set Dollar,1,['https://valueset.finance/#/'],65
1508,8780,5979,Umbria Network,1,['https://umbria.network/'],90
1509,8803,5983,B26 Finance,1,['https://b26.finance'],75
1510,8815,5986,Shadetech,0,['https://shdtech.online/'],-1
1511,8889,5997,Oracle Top 5 Tokens Index,1,['https://indexed.finance/index/orcl5'],80
1512,8953,6004,MYFinance,1,"['https://mys.finance', 'https://app.mys.finance']",80
1513,9032,6014,DDS.Store,1,['https://dds.store/'],68
1514,9045,6015,JPYC,1,['https://jpyc.jp/'],70
1515,9050,6017,Delta Exchange Token,0,"['https://www.delta.exchange/deto', 'https://www.delta.exchange/']",79
1516,9087,6022,xDeFi,1,"['https://xdefi.com/', 'https://farm.xdefi.com/#/']",95
1517,9106,6023,RougeCoin,1,['https://www.rougecoin.xyz/'],10
1518,9123,6024,SEFI,1,['https://secretswap.io'],60
1519,9151,6029,ShardingDAO,1,['https://shardingdao.com/'],50
1520,9181,6030,YFS.FINANCE,1,['https://www.yfsfinance.org/'],70
1521,9192,6032,Kambria Yield Tuning Engine,1,['https://kambria.io/blog/kambria-yield-tuning-engine/'],100
1522,9280,6039,Bulldog Token,1,['https://bulldogtoken.com'],35
1523,9360,6047,EmploymentCoin,1,['https://www.ec2token.com'],65
1524,9611,6076,ElenaUSD,1,['https://app.elena.finance/'],100
1525,9612,6077,Elena Protocol,1,['https://app.elena.finance/'],100
1526,9823,6105,SUNI,1,"['https://sunitoken.com', 'https://sunicoin.org/']",45
1527,9871,6109,Kesef Finance,1,['https://kesef.finance'],60
1528,9907,6119,Low Orbit Crypto Cannon,1,['https://loworbit.finance/'],100
1529,10003,6137,ApeHaven,1,['https://www.apehaven.com/'],70
1530,10007,6138,Snoop Doge,1,['https://snoge.io/'],50
1531,10043,6153,Alphawolf Finance,0,['https://www.alphawolf.finance/'],-1
1532,10048,6154,Keisuke Inu,1,['https://www.keisukeinu-finance.com/'],70
1533,10189,6196,Hina Inu,1,['https://www.realhinainu.com/'],35
1534,10328,6236,Dirty Finance,1,['https://dirty.finance/'],40
1535,10345,6240,Cribnb Decentralized Renting and Sharing,1,['https://cribnb.org'],55
1536,10370,6248,Global DeFi,1,['https://gdefi.finance/'],100
1537,10439,6263,StakeWise,1,['https://www.stakewise.io'],75
1538,10479,6276,Bugg Inu,1,['https://bugg.gg'],100
1539,10543,6288,Ballbag Token,1,['https://ballbagtoken.com'],100
1540,10626,6320,Polkadog,1,['https://polkadog.io'],25
1541,10638,6323,Raku Coin,0,['https://www.rakucoin.com'],30
1542,10660,6330,AUTZ Token,1,['https://www.autz.io'],55
1543,10760,6358,The Cosby Token,1,['https://cosbytoken.org'],65
1544,10859,6382,Ponzu Inu,1,['https://ponzuinu.finance'],65
1545,10874,6386,Shiberus Inu,1,['https://shiberusinu.com'],1
1546,10947,6409,GODL,1,['https://godl.app'],55
1547,11025,6426,SafeBank ETH,1,"['https://safebitcoin.io/', 'https://safebitcoin.app/']",5
1548,11090,6445,Invitoken,1,['https://www.invitree.io'],70
1549,11323,6486,Crypto Carbon Energy,1,"['https://cycecoin.com/', 'https://cycecoin.org/']",70
